name,type,country,city,details,coordinates,latitude,longitude,searches_within_500m,conversions_within_500m,conversion_rate,stashpoints_within_500m
The Orpheum,Theatre,Canada,Vancouver,,"49.2800806, -123.1204164",49.2800806,-123.1204164,31,1,0.03225806452,8
Aéroport International de Genève,Bus Station,Switzerland,Geneva,"The main bus station serving Geneva and the surrounding areas, including international routes to France and Italy.","46.2369794, 6.109088799999999",46.2369794,6.1090888,30,0,0,0
Kraków Główny Railway Station,Train Station,Poland,Krakow,"The main railway station in Kraków, serving high-speed trains, regional trains, and international connections.","50.0683947, 19.9474928",50.0683947,19.9474928,30,3,0.1,5
Quartier du Faubourg-du-Roule,Neighbourhood,France,Paris,,"48.8746664, 2.3038222",48.8746664,2.3038222,30,0,0,2
Royal Alexandra Theatre,Theatre,Canada,Toronto,,"43.6473619, -79.3875894",43.6473619,-79.3875894,30,2,0.06666666667,5
Pudu Sentral,Bus Station,Malasya,Kuala Lumpur,"The main bus station for Kuala Lumpur, serving national and international routes.","3.1457687, 101.7008554",3.1457687,101.7008554,30,1,0.03333333333,1
TD Garden,Stadium,United States,Boston,,"42.366198, -71.062146",42.366198,-71.062146,30,0,0,2
The Marlowe Theatre,Theatre,United Kingdom,Canterbury,,"51.2810342, 1.0785635",51.2810342,1.0785635,30,3,0.1,0
Genève Aéroport,Airport,Switzerland,Geneva,The main international airport serving Geneva and the surrounding area.,"46.2369794, 6.109088799999999",46.2369794,6.1090888,30,0,0,0
Teatr Dramatyczny,Theatre,Poland,Warsaw,"A prominent theatre in Warsaw, featuring a diverse repertoire of dramas and comedies.","52.23148, 21.0074839",52.23148,21.0074839,30,3,0.1,2
Quartier du Val-de-Grâce,Neighbourhood,France,Paris,,"48.8423775, 2.344719",48.8423775,2.344719,30,3,0.1,3
Gare Lucien-L'Allier,Train Station,Canada,Montreal,A major train station in Montreal serving regional and national routes.,"45.4953069, -73.5699327",45.4953069,-73.5699327,30,2,0.06666666667,3
Quartier du Faubourg-Montmartre,Neighbourhood,France,Paris,,"48.8746664, 2.3038222",48.8746664,2.3038222,30,0,0,2
Exeter Central Station,Train Station,United Kingdom,Exeter,,"50.7260089, -3.5332598",50.7260089,-3.5332598,30,2,0.06666666667,1
La Torre del Reloj,Landmark,Colombia,Cartagena,A clock tower and the main entrance to the historic city center of Cartagena.,"10.4229787, -75.54921829999999",10.4229787,-75.5492183,30,3,0.1,3
Arts Centre Melbourne,Theatre,Australia,Melbourne,"A major performing arts center with multiple venues for theatre, dance, music and comedy shows.","-37.8214366, 144.9688428",-37.8214366,144.9688428,29,0,0,1
Union Station,Train Station,United States,Los Angeles,"The primary railway station in Los Angeles, serving as a hub for Amtrak, Metrolink, and Metro Rail services.","34.056219, -118.2365021",34.056219,-118.2365021,29,0,0,0
SSE Arena,Stadium,United Kingdom,Belfast,,"54.603643, -5.914228",54.603643,-5.914228,29,3,0.1034482759,1
Museum of the History of Science,Museum,United Kingdom,Oxford,"A museum dedicated to the history of scientific instruments and discoveries, with a collection dating back to the Middle Ages.","51.7542879, -1.2554139",51.7542879,-1.2554139,29,4,0.1379310345,7
Cairns Airport,Airport,Australia,Cairns,,"-16.8777626, 145.7499352",-16.8777626,145.7499352,29,1,0.03448275862,0
LA Union Station,,United States,Los Angeles,,"34.0560245, -118.2347683",34.0560245,-118.2347683,29,0,0,0
Goya,Neighbourhood,Spain,Madrid,,"40.42572089999999, -3.6718503",40.4257209,-3.6718503,29,2,0.06896551724,2
Burrard Station,,Canada,Vancouver,,"49.2855528, -123.1202039",49.2855528,-123.1202039,29,0,0,9
Ponte Sant'Angelo,Landmark,Italy,Rome,"A famous bridge in Rome, known for its beautiful statues of angels and stunning views of the city.","41.9017493, 12.466462",41.9017493,12.466462,29,1,0.03448275862,6
Praça do Comércio,,Portugal,Lisbon,,"38.7072828, -9.136361299999999",38.7072828,-9.1363613,29,5,0.1724137931,4
Madrid Calle Herreros de tejada 14,,Spain,Madrid,,"40.4543256, -3.6813847",40.4543256,-3.6813847,29,4,0.1379310345,2
Frankfurt (Main) Süd Station,Train Station,Germany,Frankfurt,,"50.0997292, 8.6857808",50.0997292,8.6857808,29,0,0,1
Frankfurt Airport,Airport,Germany,Frankfurt,,"50.0377252, 8.559255799999999",50.0377252,8.5592558,29,0,0,0
Dworzec Autobusowy MDA,Bus Station,Poland,Krakow,"The largest and busiest bus station in Kraków, serving national and international routes.","50.06789699999999, 19.9495979",50.067897,19.9495979,29,3,0.1034482759,4
Princess Theatre,,Australia,Melbourne,,"-37.8107288, 144.9724639",-37.8107288,144.9724639,29,2,0.06896551724,1
Los Angeles Union Station,Train Station,United States,Los Angeles,,"34.0560245, -118.2347683",34.0560245,-118.2347683,29,0,0,0
Manly Beach,Tourist Attraction,Australia,Sydney,"A picturesque beach and popular tourist destination in Sydney, known for its laid-back atmosphere and outdoor activities.","-33.7931501, 151.2876488",-33.7931501,151.2876488,29,0,0,1
Teatro di San Carlo,Theatre,Italy,Naples,,"40.8374847, 14.2496378",40.8374847,14.2496378,29,2,0.06896551724,6
Palacio de Deportes de la Comunidad de Madrid,Stadium,Spain,Madrid,"A multi-purpose indoor arena in Madrid, used for sports events and concerts.","40.42387859999999, -3.6717512",40.4238786,-3.6717512,28,2,0.07142857143,0
Casa de Pilatos,Landmark,Spain,Sevilla,"A stunning 16th-century palace with a mix of Renaissance, Gothic, and Mudéjar styles.","37.3899991, -5.9872061",37.3899991,-5.9872061,28,2,0.07142857143,10
Vieux Nice,City Center,France,Nice,"The historic center of Nice, known for its charming narrow streets, colorful buildings, and lively atmosphere.","43.6971895, 7.277606899999999",43.6971895,7.2776069,28,2,0.07142857143,2
Piazza del Popolo,City Center,Italy,Rome,"A large city square in Rome, known for its impressive Egyptian obelisk and beautiful surrounding buildings.","41.9110163, 12.4762093",41.9110163,12.4762093,28,3,0.1071428571,0
El Capitan Theatre,Theatre,United States,Los Angeles,,"34.1014027, -118.3399622",34.1014027,-118.3399622,28,0,0,2
Queensland Performing Arts Centre,Theatre,Australia,Brisbane,"One of Australia's leading performing arts centres, hosting a variety of concerts, theatrical productions, and events.","-27.4742755, 153.0193023",-27.4742755,153.0193023,28,3,0.1071428571,1
Rijksmuseum,Museum,Netherlands,Amsterdam,"The largest and most visited museum in the Netherlands, featuring a vast collection of Dutch art and history.","52.3599976, 4.8852188",52.3599976,4.8852188,28,1,0.03571428571,2
Avenida Arturo Prat,City Center,Chile,Puerto Natales,"A major street in Puerto Natales, lined with restaurants, shops, and historic buildings.","-51.7274668, -72.504825",-51.7274668,-72.504825,28,0,0,0
Comodoro Arturo Merino Benítez International Airport,Airport,Chile,Santiago,,"-33.3897615, -70.7944022",-33.3897615,-70.7944022,28,0,0,0
Ibiza Airport,Airport,Spain,Ibiza,,"38.8739301, 1.3722454",38.8739301,1.3722454,28,0,0,0
Rijksmuseum,,Netherlands,Amsterdam,,"52.3599976, 4.8852188",52.3599976,4.8852188,28,1,0.03571428571,2
Palais Lascaris,Landmark,France,Nice,"A historic palace in Nice, now serving as a museum showcasing a rich collection of Baroque art and furnishings.","43.6976766, 7.277245799999999",43.6976766,7.2772458,28,2,0.07142857143,3
Théâtre National de Nice,Theatre,France,Nice,"A prestigious theatre in Nice, showcasing a variety of cultural performances and events.","43.6990627, 7.278297200000001",43.6990627,7.2782972,28,2,0.07142857143,3
Musée d'Art Moderne et d'Art Contemporain,Museum,France,Nice,"A renowned museum in Nice, featuring an impressive collection of modern and contemporary art.","43.7015032, 7.278351300000001",43.7015032,7.2783513,28,2,0.07142857143,3
Quartier du Gros-Caillou,Neighbourhood,France,Paris,,"48.8588258, 2.3035231",48.8588258,2.3035231,27,1,0.03703703704,7
Fenway Park,Stadium,United States,Boston,,"42.3466764, -71.0972178",42.3466764,-71.0972178,27,2,0.07407407407,1
The Recreation Ground,Stadium,United Kingdom,Bath,,"51.38249580000001, -2.3551492",51.3824958,-2.3551492,27,6,0.2222222222,2
Teatro Colón,Theatre,Colombia,Bogotá,,"4.5966666, -74.07442010000001",4.5966666,-74.0744201,27,2,0.07407407407,4
Aeroparque Jorge Newbery,Airport,Argentina,Buenos Aires,,"-34.5590184, -58.41565109999999",-34.5590184,-58.4156511,27,0,0,0
Berliner Philharmonie,Theatre,Germany,Berlin,,"52.51003189999999, 13.369693",52.5100319,13.369693,27,0,0,0
Parc des Princes,Stadium,France,Paris,"Home to the Paris Saint-Germain football team, this stadium also hosts major sporting events and concerts.","48.8414374, 2.2530504",48.8414374,2.2530504,27,0,0,1
Cathédrale Sainte-Réparate,Landmark,France,Nice,"A beautiful cathedral in Nice, featuring a mix of Baroque and Gothic architectural styles.","43.697164, 7.276027399999999",43.697164,7.2760274,27,2,0.07407407407,3
Basilica of Santa Maria,Landmark,Spain,Alicante,"A historic basilica in the city centre of Alicante, known for its beautiful Baroque architecture.","38.3460832, -0.4793532",38.3460832,-0.4793532,26,0,0,4
Centro Historico,City Center,Colombia,Cartagena,"The historic city center of Cartagena, known for its well-preserved colonial architecture and vibrant atmosphere.","10.422906, -75.54961",10.422906,-75.54961,26,3,0.1153846154,2
Schiphol Airport,Airport,Netherlands,Amsterdam,,"52.3127866, 4.7401699",52.3127866,4.7401699,26,0,0,0
Tiburtina Train Station,Train Station,Italy,Rome,"The second largest train station in Rome, serving regional, high-speed, and international trains.","41.91096659999999, 12.5312697",41.9109666,12.5312697,26,0,0,6
Queensland Art Gallery,Museum,Australia,Brisbane,"One of Australia's leading art museums, featuring a collection of Australian, Asian, and Pacific art.","-27.4724407, 153.0185946",-27.4724407,153.0185946,26,4,0.1538461538,2
Warsaw Central Station,Train Station,Poland,Warsaw,"The largest and most important train station in Warsaw, serving domestic and international routes.","52.22884, 21.00327",52.22884,21.00327,26,3,0.1153846154,5
Autostazione Tiburtina Bus Station,Bus Station,Italy,Rome,"The main bus station in Rome, serving both national and international routes.","41.9095134, 12.5283064",41.9095134,12.5283064,26,0,0,4
Sydney Opera House,Landmark,Australia,Sydney,A UNESCO World Heritage Site and one of the most iconic and recognizable landmarks in Australia.,"-33.8567844, 151.2152967",-33.8567844,151.2152967,26,2,0.07692307692,1
Hollywood Pantages Theatre,Theatre,United States,Los Angeles,,"34.101843, -118.3256085",34.101843,-118.3256085,26,0,0,2
Colline du Château,Landmark,France,Nice,"A hilltop park in Nice, offering panoramic views of the city and the coastline.","43.6959352, 7.279660100000001",43.6959352,7.2796601,26,1,0.03846153846,0
Fasanviertel,Neighbourhood,Austria,Vienna,,"48.1906759, 16.385869",48.1906759,16.385869,26,0,0,0
Roma Tiburtina Station,,Italy,Rome,,"41.91096659999999, 12.5312697",41.9109666,12.5312697,26,0,0,6
Opéra de Nice,Theatre,France,Nice,"A grand opera house in Nice, hosting a diverse program of opera, ballet, and classical music performances.","43.6954724, 7.2725385",43.6954724,7.2725385,26,2,0.07692307692,3
Royal Botanic Garden,Landmark,Australia,Sydney,"A tranquil and scenic garden in the heart of Sydney, featuring a wide variety of plants, flowers, and wildlife.","-33.8641859, 151.2165708",-33.8641859,151.2165708,26,5,0.1923076923,0
San Nicolas Cathedral,Landmark,Spain,Alicante,"A beautiful cathedral in the city centre of Alicante, known for its Valencian Gothic style.","38.3454595, -0.4825726",38.3454595,-0.4825726,26,0,0,8
Pearson Airport,Airport,Canada,Toronto,,"43.6798345, -79.62838339999999",43.6798345,-79.6283834,26,0,0,0
Warner Theatre,Theatre,United States,Washington D.C.,,"38.8964782, -77.0291601",38.8964782,-77.0291601,26,3,0.1153846154,0
Cours Saleya,City Center,France,Nice,"A popular square in Nice, home to a bustling market selling fresh produce, flowers, and local goods.","43.695607, 7.2749227",43.695607,7.2749227,26,2,0.07692307692,2
Marienplatz,City Center,Germany,Munich,"The main square in the heart of Munich, bustling with shops, restaurants, and street performers.","48.1370339, 11.5758134",48.1370339,11.5758134,26,0,0,4
YYZ Airport,,Canada,Toronto,,"43.6798345, -79.62838339999999",43.6798345,-79.6283834,26,0,0,0
Explanada de España,City Center,Spain,Alicante,"The main promenade and gathering place in Alicante, lined with palm trees and colourful mosaic tiles.","38.3433636, -0.4832274",38.3433636,-0.4832274,26,0,0,8
Rome Tiburtina Station,Train Station,Italy,Rome,"A major train station in Rome, serving high-speed trains, regional trains, and buses.","41.91096659999999, 12.5312697",41.9109666,12.5312697,26,0,0,6
Warszawa Centralna,Train Station,Poland,Warsaw,,"52.22884, 21.00327",52.22884,21.00327,26,3,0.1153846154,5
Amsterdam Airport Schiphol,,Netherlands,Amsterdam,,"52.3127866, 4.7401699",52.3127866,4.7401699,26,0,0,0
Alicante Museum of Contemporary Art,Museum,Spain,Alicante,"A modern art museum located in a historic building, featuring works by local and international artists.","38.346264, -0.4796832",38.346264,-0.4796832,26,0,0,4
Concatedral de San Nicolas,Landmark,Spain,Alicante,"A stunning cathedral in Alicante, showcasing a mix of Baroque, Renaissance, and Gothic architectural styles.","38.3454595, -0.4825726",38.3454595,-0.4825726,26,0,0,8
Amsterdam Airport Schiphol,Airport,Netherlands,Amsterdam,The main international airport serving Amsterdam and the largest airport in the Netherlands.,"52.3127866, 4.7401699",52.3127866,4.7401699,26,0,0,0
Warsaw Central Bus Station,Bus Station,Poland,Warsaw,"The largest and busiest bus station in Warsaw, serving national and international routes.","52.22884, 21.00327",52.22884,21.00327,26,3,0.1153846154,5
Adelaide Railway Station,Train Station,Australia,Adelaide,,"-34.9209, 138.59679",-34.9209,138.59679,25,2,0.08,2
Royal Palace of Madrid,Landmark,Spain,Madrid,The official residence of the Spanish royal family and a popular attraction for tourists.,"40.417955, -3.714311999999999",40.417955,-3.714312,25,0,0,9
Wanda Metropolitano Stadium,Stadium,Spain,Madrid,"The newest and most modern football stadium in Madrid, home to Atlético Madrid football club.","40.4362323, -3.5994819",40.4362323,-3.5994819,25,0,0,0
Greyhound Station,Bus Station,United States,Los Angeles,"One of the largest bus stations in Los Angeles, serving as a major transportation hub for national and international routes.","34.0558016, -118.2330075",34.0558016,-118.2330075,25,0,0,0
Belvedere Palace,Museum,Austria,Vienna,"A magnificent palace complex and museum, known for its extensive collection of Austrian art, including works by Gustav Klimt.","48.19147510000001, 16.3809322",48.1914751,16.3809322,25,0,0,0
Dolby Theatre,Theatre,United States,Los Angeles,,"34.1026919, -118.3404156",34.1026919,-118.3404156,25,0,0,2
Wanda Metropolitano,Stadium,Spain,Madrid,,"40.4362323, -3.5994819",40.4362323,-3.5994819,25,0,0,0
Lyon-Part-Dieu railway station,Train Station,France,Lyon,The largest railway station in Lyon and the third-busiest in France.,"45.7605474, 4.861117699999999",45.7605474,4.8611177,25,1,0.04,0
Dodger Stadium,Stadium,United States,Los Angeles,"A baseball park in the Elysian Park neighborhood, known for being the home of the Los Angeles Dodgers.","34.073851, -118.2399583",34.073851,-118.2399583,25,2,0.08,0
Viktualienmarkt,Landmark,Germany,Munich,"A bustling outdoor market offering a variety of fresh produce, meats, and local delicacies, as well as beer gardens and food stands.","48.1353899, 11.5760761",48.1353899,11.5760761,25,0,0,4
Liverpool John Lennon Airport,Airport,United Kingdom,Liverpool,,"53.3351164, -2.8523459",53.3351164,-2.8523459,25,2,0.08,0
Teatro Nescafé de las Artes,Theatre,Chile,Santiago,,"-33.4285291, -70.6206629",-33.4285291,-70.6206629,25,0,0,3
Orlando International Airport,Airport,United States,Orlando,The primary airport serving Orlando and the second-busiest airport in Florida.,"28.4244422, -81.3104595",28.4244422,-81.3104595,25,0,0,0
Belvedere Palace,Tourist Attraction,Austria,Schwechat,"A stunning palace complex in Vienna, housing a world-renowned art collection and beautiful gardens.","48.19147510000001, 16.3809322",48.1914751,16.3809322,25,0,0,0
